district_id,id,pcode,population,mosques,mosquedens
Pamukova,732,TUR054012,29386,55,1.87
Sapanca,733,TUR054013,41055,46,1.12
Serdivan,734,TUR054014,139595,71,.5
Sogutlu,735,TUR054015,13973,35,2.5
Tarakli,736,TUR054016,6895,38,5.51
Ondokuzmayis,737,TUR055001,26337,78,2.96
Alacam,738,TUR055002,25854,161,6.22
Asarcik,739,TUR055003,17628,89,5.04
Atakum,740,TUR055004,202618,131,.64
AyvacikS,741,TUR055005,21847,84,3.84
Bafra,742,TUR055006,142210,347,2.44
Canık,743,TUR055007,97564,128,1.31
Carsamba,744,TUR055008,138840,352,2.53
Havza,745,TUR055009,40194,144,3.58
Merkez55,746,TUR055010,332230,179,.53
Kavak,747,TUR055011,21692,165,7.6
Ladik,748,TUR055012,16734,88,5.25
Salipazari,749,TUR055013,22923,90,3.92
Tekkekoy,750,TUR055014,52258,129,2.46
Terme,751,TUR055015,72354,243,3.35
Vezirkopru,752,TUR055016,95569,287,3
Yakakent,753,TUR055017,8864,54,6.09
Baykan,754,TUR056001,26160,56,2.14
Eruh,755,TUR056002,20513,73,3.55
Kurtalan,756,TUR056003,59647,114,1.91
Pervari,757,TUR056004,32128,77,2.39
Merkez56,758,TUR056005,166332,201,1.2
Sirvan,759,TUR056006,22580,95,4.2
Aydinlar,760,TUR056007,4310,31,7.19
Ayancık,761,TUR057001,23720,152,6.4
Boyabat,762,TUR057002,44608,278,6.23
Dikmen,763,TUR057003,5492,68,12.38
Duragan,764,TUR057004,19650,149,7.58
Erfelek,765,TUR057005,12049,95,7.88
Gerze,766,TUR057006,24946,117,4.69
Sarayduzu,767,TUR057007,6777,61,9
Merkez57,768,TUR057008,64544,127,1.96
Turkelı,769,TUR057009,17947,106,5.9
Akincilar,770,TUR058001,5675,37,6.51
Altinyayla,771,TUR058002,9309,25,2.68
Divrigi,772,TUR058003,16377,40,2.44
Dogansar,773,TUR058004,3401,39,11.46
Gemerek,774,TUR058005,24828,64,2.57
Golova,775,TUR058006,4176,36,8.619999999999999
Gurun,776,TUR058007,19076,82,4.29
Hafik,777,TUR058008,10062,49,4.86
Imranli,778,TUR058009,8249,19,2.3
Kangal,779,TUR058010,21669,75,3.46
Koyulhisar,780,TUR058011,14613,92,6.29
Merkez58,781,TUR058012,377561,357,.9399999999999999
Susehri,782,TUR058013,25654,105,4.09
Sarkisla,783,TUR058014,38954,93,2.38
Ulas,784,TUR058015,9682,39,4.02
Yildizeli,785,TUR058016,33986,128,3.76
Zara,786,TUR058017,23336,95,4.07
Cerkezkoy,787,TUR059001,166789,29,.17
Corlu,788,TUR059002,262862,55,.2
Ergene,789,TUR059003,62458,32,.51
Hayrabolu,790,TUR059004,32137,62,1.92
Kapakli,791,TUR059005,116882,20,.17
Malkara,792,TUR059006,52758,92,1.74
Marmara Ereglisi,793,TUR059007,25873,26,1
Muratli,794,TUR059008,28537,27,.9399999999999999
Saray  ,795,TUR059009,49106,36,.73
Merkez59,796,TUR059010,199960,134,.67
Sarkoy,797,TUR059011,32565,35,1.07
Almus,798,TUR060001,28413,51,1.79
Artova,799,TUR060002,8744,25,2.85
Basciftlik,800,TUR060003,7058,18,2.55
Erbaa,801,TUR060004,95361,200,2.09
Niksar,802,TUR060005,64119,171,2.66
PazarT,803,TUR060006,14335,39,2.72
Resadiye,804,TUR060007,41178,143,3.47
Sulusaray,805,TUR060008,7401,24,3.24
Merkez60,806,TUR060009,201294,246,1.22
Turhal,807,TUR060010,79916,112,1.4
YesilyurtT,808,TUR060011,9154,21,2.29
Zile,809,TUR060012,55673,23,.41
Akcaabat,810,TUR061001,123552,294,2.37
Arakli,811,TUR061002,49496,163,3.29
Arsin,812,TUR061003,34831,81,2.32
Besikduzu,813,TUR061004,22630,58,2.56
Carsibasi,814,TUR061005,16335,64,3.91
Caykara,815,TUR061006,16213,120,7.4
Dernekpazari,816,TUR061007,4204,42,9.99
Duzkoy,817,TUR061008,14511,68,4.68
Hayrat,818,TUR061009,10298,72,6.99
KoprubasiT,819,TUR061010,6401,55,8.59
Macka,820,TUR061011,26626,171,6.42
Of,821,TUR061012,43499,227,5.21
Merkez61,822,TUR061013,317520,243,.76
Surmene,823,TUR061014,27428,101,3.68
Salpazarı,824,TUR061015,11934,77,6.45
Tonya,825,TUR061016,14592,68,4.66
Vakfikebir,826,TUR061017,28209,91,3.22
Yomra,827,TUR061018,39624,69,1.74
Cemiskezek,828,TUR062001,8347,40,4.79
Hozat,829,TUR062002,6891,5,.72
Mazgirt,830,TUR062003,8430,8,.9399999999999999
Nazimiye,831,TUR062004,3599,1,.27
Ovacik,832,TUR062005,6998,2,.28
Pertek,833,TUR062006,11669,19,1.62
Pulumur,834,TUR062007,3760,2,.53
Merkez62,835,TUR062008,38504,12,.31
Akcakale,836,TUR063001,113194,148,1.3
Birecik,837,TUR063002,95149,139,1.46
Bozova,838,TUR063003,58565,119,2.03
Ceylanpinar,839,TUR063004,87684,82,.93
Merkez63,840,TUR063005,379123,288,.75
Halfeti,841,TUR063006,41142,65,1.57
Halilye,842,TUR063007,376251,288,.76
Harran,843,TUR063008,87843,148,1.68
Hilvan,844,TUR063009,42829,82,1.91
Karakopru,845,TUR063010,195552,57,.29
Siverek,846,TUR063011,258265,229,.88
Suruc,847,TUR063012,104302,158,1.51
Viransehir,848,TUR063013,195910,198,1.01
Banaz,849,TUR064001,36373,85,2.33
Esme,850,TUR064002,34932,97,2.77
Karahalli,851,TUR064003,10457,34,3.25
Sivasli,852,TUR064004,20753,41,1.97
UlubeyU,853,TUR064005,12955,57,4.39
Merkez64,854,TUR064006,252044,259,1.02
Bahcesaray,855,TUR065001,14622,62,4.24
Baskale,856,TUR065002,52544,123,2.34
Caldiran,857,TUR065003,63013,107,1.69
Catak,858,TUR065004,20937,64,3.05
EdremitV,859,TUR065005,125884,101,.8
Ercis,860,TUR065006,173313,222,1.28
Gevas,861,TUR065007,28620,65,2.27
Gurpinar,862,TUR065008,35663,123,3.44
Merkez65,863,TUR065009,312244,209,.66
Muradiye,864,TUR065010,49688,76,1.52
Ozalp,865,TUR065011,65785,86,1.3
Saray,866,TUR065012,20949,29,1.38
Tusba,867,TUR065013,160522,159,.99
Akdagmadeni,868,TUR066001,42919,113,2.63
Aydincik,869,TUR066002,10407,28,2.69
Bogazliyan,870,TUR066003,34121,65,1.9
Candir,871,TUR066004,4597,15,3.26
Cayiralan,872,TUR066005,13512,38,2.81
Cekerek,873,TUR066006,19786,52,2.62
Kadisehri,874,TUR066007,11716,40,3.41
Saraykent,875,TUR066008,14198,34,2.39
Sarikaya,876,TUR066009,33010,85,2.57
Sorgun,877,TUR066010,79314,162,2.04
